vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
c5215826-6237-4a33-9312-72c1df909881,2023-01-25 09:10:54,54.88135039273247,78.95086101800565,164.77597272736512,287.8089860943348,7527.0,69.34557502116084,0.5535890138304125,network,medium,waiting
29690bc6-1f34-403b-b509-a1ecb1834fb8,2023-01-26 04:46:34,71.51893663724195,29.901882588683115,,362.27356881966176,5348.0,41.39603965431024,0.3498562124073033,io,high,completed
2e55abc3-5bad-46cb-b445-a577f5e9bf2a,2023-01-13 23:39:47,,92.70919512014969,203.6748471150189,231.4679027444394,5483.0,24.60254888470785,0.79627697356617,io,medium,completed
e672e32f-c134-4fbc-992b-34eb63bef6bf,2023-02-09 11:45:49,54.48831829968969,88.10095962792755,,195.63995376557352,5876.0,16.456669858380668,0.5295107822540652,compute,high,completed
f38b8b50-6926-4533-be4f-89ad11624071,2023-06-14 08:27:26,42.36547993389047,,,359.45153695723053,3361.0,55.30799161503772,0.3519072635198071,,medium,waiting
ad14d5d1-4e96-48ca-9893-1baaa47e4cab,2023-02-06 16:44:41,64.58941130666561,62.00801572713125,580.5698364890883,115.93161048505227,4766.0,63.13767143999519,,io,low,completed
5651505d-14a2-41d6-989b-eec0aac9b922,2023-06-15 18:04:04,43.75872112626925,22.456429249411503,429.1396396095887,272.9604167203784,9008.0,60.15390381796911,0.4612463882323769,compute,high,completed
e5970e5c-0350-4131-bd6c-4bd7e2c98df1,,,85.43815471675246,685.2828127526033,,,14.191355528380544,0.2425384275256116,network,high,running
7fc95f4c-f561-4dd5-8465-aec2b388bd5b,2023-05-20 19:09:26,96.36627605010293,4.388441255096842,902.827716859084,367.97905592877584,9984.0,21.87669373238963,,io,medium,running
7fd9a664-1da8-4ae9-8a04-3c341d32d35c,2023-07-10 11:32:51,38.34415188257777,16.44188143630516,779.7913445722813,382.7566963342774,2989.0,42.16084672041248,0.1391872331187899,io,medium,running
ea8455b0-251c-4470-b7ea-8d40476e3434,2023-01-14 19:59:41,79.17250380826646,2.972252291872135,926.374029707024,173.5593253511245,8644.0,55.70267258499558,0.7794988270273124,compute,medium,completed
